"Product title","Product vendor","Product type","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales"
"Multifunctional 3-in-1 Vegetable Chopper","Wonder Homes",,25,66819,0,-31834,34985,0,34985
"2 in 1 Dumpling Samosa Maker","Wonder Homes",,13,19980,0,-6993,12987,0,12987
"Multifunctional Rotatory Vegetable Slicer","Wonder Homes",,3,12297,0,-7099,5198,0,5198
"900ml Multi-Functional Manual Garlic Press & Chopper","Wonder Homes",,1,1300,0,0,1300,0,1300
"Portable Electric Mini Juicer & Blender Bottle","Wonder Homes",,0,1499,0,-1499,0,0,0
