"Sales channel","Orders","Gross sales","Discounts","Returns","Net sales","Shipping charges","Taxes","Total sales"
"Online Store",66,92702,0,-39431,53271,0,0,53521
"Releasit COD Form",7,9193,0,-5596,3597,99,0,3696
