"Referring channel","Referring medium","Orders","Total sales","Gross sales","Net sales","Orders (previous_period)","Total sales (previous_period)","Gross sales (previous_period)","Net sales (previous_period)"
"facebook","social",36,26431,47469,26181,12,9450,19347,9450
"instagram","social",5,6146,6146,6146,2,1550,3249,1550
"tiktok","social",4,5596,5596,5596,0,0,0,0
"shopify","",1,1399,1399,1399,0,0,0,0
"direct","",3,1399,4497,1399,3,1550,4999,1550
